barcode,brand,category,size
3600523924103,L'Oreal Paris,Маска для волос,300 мл
3600523931330,L'Oreal Paris,"Бальзам, кондиционер, ополаскиватель",200 мл
3600523931415,L'Oreal Paris,Шампунь,250 мл
3600523931453,L'Oreal Paris,Шампунь,400 мл
3600523943067,L'Oreal Paris,Краска для волос,192 мл
3600523943111,L'Oreal Paris,Краска для волос,192 мл
3600523943166,L'Oreal Paris,Краска для волос,192 мл
3600523943210,L'Oreal Paris,Краска для волос,192 мл
3600523943265,L'Oreal Paris,Краска для волос,192 мл
3600523951444,L'Oreal Paris,Компактная пудра,9 г
3600523968572,L'Oreal Paris,Шампунь,250 мл
3600523968589,L'Oreal Paris,"Бальзам, кондиционер, ополаскиватель",200 мл
3600523968596,L'Oreal Paris,Шампунь,400 мл
3600523968602,L'Oreal Paris,"Бальзам, кондиционер, ополаскиватель",400 мл
3600523976096,L'Oreal Paris,"Лосьон, спрей, сыворотка для волос",100 мл
3600523985296,L'Oreal Paris,Маска для волос,300 мл
